title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Ended
visteam,2
abmartin,1
aspinwal,1
chertkov,1
chunly,1
ecol346,1
egami,1
gea,1
geodesy,1
holmgren,1
kellingson,1
khalil,1
laurentpagnier,1
limesand,1
ling-582-fall-2019,1
lziurys,1
mhunter,1
mlggaray,1
rmthomps,1
tgb,1
wightman,1
---------,
title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Users: Active
default,64
akoglu,33
css19,22
student,20
msbarker,19
staff,19
ericlyons,18
ludwik,13
ekiser,12
hpcteam,12
nkchen,11
ua-hlt,11
faselh,10
msurdeanu,10
nlp,10
yinghuichou,10
bhurwitz,9
pa572fall19,9
sschwartz,9
vpaschal,9
bjoyce3,8
kukolich,8
ling-582,8
mpadi,8
anling,7
cactophilic,7
ditzler,7
gwp,7
high_energy,7
kkratter,7
kmkshare,7
masel,7
robertof,7
liangr,6
mse551-2019,6
rgutenk,6
ruichang,6
tswetnam,6
barberan,5
cosmo,5
cusanovichlab,5
denard,5
fozel,5
gbesla,5
hammond,5
hutchinsone,5
kobourov,5
krishna,5
madenci,5
nirav,5
wmoore,5
alanger,4
behroozi,4
breiger,4
claytonm,4
deeptab,4
deymier,4
dlichten,4
ece569,4
gondyleroy,4
hxin,4
jchurko,4
jrussell,4
kobus,4
lecondon,4
lim,4
mstrout,4
niug,4
qinghao,4
rfleisch,4
ritu,4
sanov,4
shufang,4
sjmiller,4
tmerritt,4
tomasiak,4
yadegari,4
yann,4
zsz,4
barman,3
bisr,3
cmlaukai,3
cosmolike,3
cromanoski,3
csc585,3
dfz,3
donata,3
dshyshlov,3
erozo,3
fungi,3
genomeanalytics,3
granzier,3
haiquan,3
haozhang,3
hjo,3
jkbrown,3
junmingy,3
jzhou,3
kanchukaitis,3
kgklein,3
krunz,3
lansey,3
mculver,3
meilingw,3
mfh,3
mmo,3
montfort,3
nfan,3
pajansen,3
poloczek,3
quantumphotonicapplications,3
rmosher,3
rychlik,3
slbeck,3
sram,3
tandonr,3
tgbeatty,3
trouard,3
UASAL,3
vasic,3
vsubbian,3
wiensj,3
worobey,3
zeng,3
adekstrom,2
arabyan,2
armin,2
asphaug,2
atila,2
avf,2
benquist,2
bh_class,2
bob,2
boguo,2
brio,2
calvin_mathbio,2
caos,2
ccweinkauf,2
changxuwu,2
charig,2
CPRL,2
dienes,2
dkp,2
dlebauer,2
dlemoine,2
duey,2
dukepauli,2
euanmc,2
evanmaclean,2
fgoodrum,2
fionamcc,2
frantzis,2
halkateb,2
hanquist,2
hoshin,2
hpc,2
jdpellet,2
jeisner,2
jneilson,2
josh,2
juren,2
kbatai,2
laurameredith,2
lega,2
lmcguire,2
malhotra,2
mazumdar,2
mbruck,2
mcgrath,2
monti,2
mrieke,2
mxiao,2
pembertn,2
pierre,2
pjessen,2
plan,2
poirierd,2
raichlen,2
rbinder,2
rc,2
rlysecky,2
SAMOS,2
sanderm,2
sarawillis,2
satheesh,2
schlenke,2
smissoum,2
tgk,2
tommik,2
yotam,2
yves,2
Zabludoff_Group,2
zhuangquntao,2
abmartin,1
